Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,65.5709981126065,65.9626118710951,8,300,1,0,1,1,0,1
LDend,162.159390213537,164.917582892698,5,400,1,0,1,1,0,1
diamDend,5.61987379405575,5.57021868836122,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,4.26242063136975e-05,4.28736004932538e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,5.94319936819069e-05,6.00744370198457e-05,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,2.92471991981258e-05,2.55469891485868e-05,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00122526768330192,0.00123152967645557,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,1.72580925616197e-08,1.72580925616197e-08,1e-09,0.01,5,1,0,1,0,0
ghbarIhDend1,2.11995716441293e-07,2.11995716441293e-07,1e-09,0.01,5,1,0,1,0,0
ghbarIhDend2,1.29992370094654e-09,1.29992370094654e-09,1e-09,0.01,5,1,0,1,0,0
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.24705197330929e-05,2.24705197330929e-05,1e-09,0.01,6,1,0,1,0,0
gkbarIKirDend1,4.30111537644304e-05,4.30111537644304e-05,1e-09,0.01,6,1,0,1,0,0
gkbarIKirDend2,0.000981924005702278,0.000981924005702278,1e-09,0.01,6,1,0,1,0,0
gkbarIASoma,0.00997809553423889,0.01,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.00935435292646398,0.01,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0139680369484558,0.01,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,4.45882319546459e-06,4.45882319546459e-06,1e-09,0.01,8,1,0,1,0,0
gnabarINaPDend1,2.96848509552538e-06,2.96848509552538e-06,1e-09,0.01,8,1,0,1,0,0
gnabarINaPDend2,2.14031809106483e-05,2.14031809106483e-05,1e-09,0.01,8,1,0,1,0,0
