Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,200.655926194934,202.724433169747,8,300,1,0,1,1,0,1
LDend,241.685491102574,244.314641645391,5,400,1,0,1,1,0,1
diamDend,3.58208477486504,3.6360492114789,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,2.7148496032482e-06,2.7469873502743e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.4695879076081e-09,1.37879513669807e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.000497595903111512,0.000568972010578245,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00201892420773995,0.00200104854596111,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,5.85248581744557e-06,6.01986183516346e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000136627884033694,4.9166194630323e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,8.89547581974617e-05,8.88023165677976e-05,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,4.8622234466147e-09,3.91206112228313e-09,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,5.92659995123252e-07,5.132693238899e-07,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,8.67115182479524e-05,9.19846877121473e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00281192671983883,0.00284323977057189,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,3.24037047149804e-08,2.66383239438712e-08,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,5.27926868081791e-09,3.70668544597149e-09,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.55551423149721e-06,2.54151894770102e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.36162952925877e-08,1.39612975081167e-08,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.89183046732757e-09,2.0368381201391e-09,1e-09,0.01,8,1,0,1,0,1
