Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,157.391501222195,152.533261095817,8,300,1,0,1,1,0,1
LDend,164.386540976197,162.995043230238,5,400,1,0,1,1,0,1
diamDend,2.04449457717948,1.81690434566117,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,8.65810922463409e-06,8.73389972894801e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,2.74384693152794e-06,2.89181014394136e-06,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00170738068786191,0.00161869514341554,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00296464696820493,0.00284765122530646,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.33541039972025e-06,4.41430258228068e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000581646584529175,0.000573269995418168,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,6.6010620655269e-08,6.02049995932819e-08,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,1.89435377703019e-05,1.96594986327864e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.0020178202106773,0.00184413319436751,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.00102246274446036,0.000972746861341429,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0053962568335796,0.00576330015007998,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.000683766353431163,4.26642059189016e-05,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0708752870191568,0.0671427053278199,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.75802941047818e-06,1.8301484964477e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,5.31235683028493e-06,5.45336662118349e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.45907615346144e-05,1.36469225398398e-05,1e-09,0.01,8,1,0,1,0,1
