Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,157.963905526614,157.963905526614,8,300,1,0,1,1,0,1
LDend,133.231433070889,133.231433070889,5,400,1,0,1,1,0,1
diamDend,5.44760543364203,5.44760543364204,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,9.79404529046478e-06,9.79404529046478e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,9.0402054692457e-09,6.84345380057366e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.003617070943719,0.00361707094371899,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00143141454032523,0.00143141454032523,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,5.11027809583757e-06,5.11027809583757e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000577367207973165,0.000577367207973165,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,2.33500458487457e-07,1.83892753088605e-08,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.78541433724616e-05,2.78541433724616e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,3.65217616345948e-05,3.65217616345948e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000432624255217222,0.000432624255217222,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00788204789798944,0.00788204789798944,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0939473580105892,0.0939473580105892,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.00191114662372698,0.00191114662372698,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.34404259326206e-06,2.34404259326206e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,9.98283363090987e-05,9.98283363090987e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.11683718726885e-05,1.11683718726885e-05,1e-09,0.01,8,1,0,1,0,1
