Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,156.83029321711,159.834139988142,8,300,1,0,1,1,0,1
LDend,159.085163896839,159.633026054979,5,400,1,0,1,1,0,1
diamDend,4.65809834517116,4.87088519120147,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.43014012280865e-05,1.45965426254557e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,3.69909755894035e-09,2.86018791760408e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00348918891004902,0.0033003302514797,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00272071855877506,0.00252839446314089,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,3.00912186424992e-06,2.78551221904837e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000966811566127931,0.000956499230623556,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.28909029336749e-07,1.11068329239066e-07,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,1.48545763818895e-05,1.62257028928998e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,7.24202011596177e-05,4.28678901244975e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.0006950701037209,0.000698396440863705,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00948450518050715,0.00928109687722375,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0985017676014481,0.0961610650440082,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0846823887607785,0.0273470651694345,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.0631867847501e-06,1.98497544202592e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,9.33968369454945e-06,9.95605496996139e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.10194171891768e-05,8.24518475232347e-06,1e-09,0.01,8,1,0,1,0,1
