Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,228.523701070221,228.523701070221,8,300,1,0,1,1,0,1
LDend,238.174064099571,238.174064099571,5,400,1,0,1,1,0,1
diamDend,19.3077067154933,19.3077067154933,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,3.89153245589976e-06,3.89153245589976e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,5.93904379985339e-09,5.93904379985339e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.000181714474566098,0.000181714474566098,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00105943942196189,0.00105943942196189,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.67402682350347e-06,4.67402682350347e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,2.95463453436202e-05,2.95463453436202e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,3.06167206246113e-05,3.06167206246113e-05,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,1.42093898666851e-08,1.42093898666851e-08,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,9.5066407231819e-07,9.5066407231819e-07,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,8.48234950659405e-05,8.48234950659405e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00712903565460737,0.00712903565460737,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.000358587050777491,9.61238843818142e-08,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,3.74308818802922e-09,3.74308818802922e-09,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.73067073291739e-06,2.73067073291739e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,2.61781399699937e-08,2.61781399699937e-08,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.4902192776413e-05,1.4902192776413e-05,1e-09,0.01,8,1,0,1,0,1
