Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,156.868254573333,154.925644116143,8,300,1,0,1,1,0,1
LDend,235.900683009488,230.414227777094,5,400,1,0,1,1,0,1
diamDend,2.02714925565009,2.54929119449184,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,9.59649766119599e-06,1.02121425868371e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,8.54955288148548e-09,5.23819759458516e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00254881358384096,0.00214021625624685,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.000968024244094073,0.00105187895144481,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,1.26643950056865e-05,1.46353225309242e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000173210962348099,0.000182009686463409,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,8.78394528119366e-09,5.82320293247145e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,5.54341684196902e-05,5.68399418173541e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000261036495986401,0.0002550121528744,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000166859623194949,0.000184021357445953,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00310135985602083,0.00308293865610875,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.00982731071341813,0.0062397597080491,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0839398903134271,0.0556706465963072,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,5.05668083475171e-06,4.40257287762436e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,8.62893642262348e-06,9.01252678348204e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,2.00090381830467e-05,1.86109457622058e-05,1e-09,0.01,8,1,0,1,0,1
