Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,185.280364472457,184.449097053831,8,300,1,0,1,1,0,1
LDend,140.085533512923,143.020625385041,5,400,1,0,1,1,0,1
diamDend,4.97414233140175,3.78952982394488,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,9.68078907227221e-06,9.12206672424688e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.40757115893659e-08,1.72337804882482e-08,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00777116860001328,0.00799111400530113,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.000735913514623389,0.000725466530899411,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,1.84068545724012e-06,1.64542553143463e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,1.68038141522881e-05,0.000143483345680365,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,5.12340145045976e-09,4.0454614053519e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,3.49841022660441e-05,2.86580924957296e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000118370029219418,9.98837220489419e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.00193332607901287,0.00153701335611432,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0175943427873873,0.0163743780038213,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0545914781040976,0.0404494993325284,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0986003124099582,0.0736259301517329,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.42944256551201e-06,2.53789025113366e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.09486305453343e-05,9.39408385538168e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.9156630357481e-05,1.72094469128333e-05,1e-09,0.01,8,1,0,1,0,1
