Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,160.792982480314,159.312081716074,8,300,1,0,1,1,0,1
LDend,143.235407585909,147.503653101494,5,400,1,0,1,1,0,1
diamDend,2.30331301846596,2.11709250323061,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.68872369045918e-05,1.14511725500742e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,7.05546233456893e-09,5.22560892351733e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00417532941032924,0.00416406091655575,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00190013107271928,0.00137452044645213,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,6.38745496234105e-06,4.41530695792883e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.00389019001002442,0.00250109390184208,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.61196616801446e-09,1.65111693670336e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,4.64794319868296e-05,3.81751551067678e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,3.82915130512044e-05,5.48169231147294e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000177195264575425,0.0001852202928915,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00533039326080808,0.00565413515321351,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.049777051087148,0.0619170462162792,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.019990215889373,0.0177254516300079,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.62587310026385e-06,2.54382835430655e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,3.66309423004381e-06,7.94717173011743e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.32059284400717e-05,1.13581236985844e-05,1e-09,0.01,8,1,0,1,0,1
