Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,163.381414977915,164.808769060532,8,300,1,0,1,1,0,1
LDend,159.343617503458,158.36409097762,5,400,1,0,1,1,0,1
diamDend,2.70876356181712,2.63071262836704,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.04601490811851e-05,1.0502455447207e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.26245526730704e-08,1.57837784917048e-08,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00203015847188432,0.00225703024945264,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.0016985789740479,0.00178461914315583,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.68908956975031e-06,4.80953301740236e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000577873536774961,0.00045592514565836,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.19889903197655e-05,1.17163441286877e-06,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,1.42476798536016e-05,1.43741065781838e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000715058855007984,6.9775902122816e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000288577686701626,0.000351095544529068,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00654194876674609,0.00700352740142353,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.00122678151034329,0.000835991639342042,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.000200052762395039,0.0636396220962415,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.16131964439245e-06,2.0201175871545e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.29228865553412e-05,1.16358299297779e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,0.000348952346465591,0.000377933578054235,1e-09,0.01,8,1,0,1,0,1
