Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,229.652245562623,229.690470499891,8,300,1,0,1,1,0,1
LDend,245.629375446595,253.029326131572,5,400,1,0,1,1,0,1
diamDend,10.691612904869,14.5643905716243,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,2.98122234249718e-06,2.67926662455903e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.24071497496725e-09,1.61431690793616e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,8.27018998469913e-05,0.000500196525309307,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.0017663658112784,0.00173362574151356,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,7.73099167725929e-06,5.30421231021341e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,7.40281638656302e-05,4.46169846337369e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,8.91956233942354e-05,6.56478672146083e-05,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,1.2799694441504e-08,4.64617526896418e-09,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,7.06899453360645e-07,4.74101421277744e-07,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,6.75278507924207e-05,0.000127667072327889,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0080482049353438,0.0104547412763186,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,6.51837689009529e-08,3.23155471189748e-08,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,1.70256983146795e-09,1.76688128866503e-09,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.40834245448557e-06,2.23180592443806e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,7.01998740374866e-09,1.00938637785802e-08,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,3.37244182956812e-09,2.75582289341237e-09,1e-09,0.01,8,1,0,1,0,1
