Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,224.624119705016,229.690470499891,8,300,1,0,1,1,0,1
LDend,262.975285785881,253.029326131572,5,400,1,0,1,1,0,1
diamDend,11.4934741182194,14.5643905716243,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,4.14104002117213e-06,2.67926662455903e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.83001799736057e-09,1.61431690793616e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.000370830386748835,0.000500196525309307,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00159484194306181,0.00173362574151356,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,3.33197958837977e-06,5.30421231021341e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,6.67960404794496e-05,4.46169846337369e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,5.20245932219873e-05,6.56478672146083e-05,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,7.57474748393419e-09,4.64617526896418e-09,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,6.71382286560952e-07,4.74101421277744e-07,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,5.18486938982436e-05,0.000127667072327889,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00804191529150064,0.0104547412763186,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,4.41340006884291e-08,3.23155471189748e-08,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,2.23175947987346e-09,1.76688128866503e-09,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.47444063602444e-06,2.23180592443806e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.27509955908041e-08,1.00938637785802e-08,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,3.2907053632806e-09,2.75582289341237e-09,1e-09,0.01,8,1,0,1,0,1
