Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,168.737684826153,163.28804983096,8,300,1,0,1,1,0,1
LDend,166.297568590896,167.797197909726,5,400,1,0,1,1,0,1
diamDend,5.4556431922392,5.27031261929153,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,9.6453853796496e-06,9.5416473678674e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,7.75129233974593e-09,6.2434856920949e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00211333522101934,0.0031869051787964,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00251813641887343,0.00226374844089964,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,2.50653935279942e-06,2.4133877842924e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000115112473971743,0.000110017816307751,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,3.12831609163971e-09,2.46535037313271e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.19438322481098e-05,1.7806693219597e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,9.10917041578142e-05,7.20638840565687e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000176071073739845,0.000717247960420899,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00762658447295644,0.0100191422823117,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0940842404286941,0.0863734240201029,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0910309106289625,0.0835957699300875,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.51480405273862e-06,2.52847669844168e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,2.30651986544053e-05,1.16067711039765e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,9.13910423491436e-06,6.7917522520432e-06,1e-09,0.01,8,1,0,1,0,1
