Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,166.206583685046,166.174622825601,8,300,1,0,1,1,0,1
LDend,160.839435015795,159.802540113985,5,400,1,0,1,1,0,1
diamDend,4.36102362543996,4.43797504998465,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.01844146070215e-05,1.02124543050051e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.82180712569516e-07,1.77792364730826e-07,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00254802113102725,0.00246474636575401,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00265383830959269,0.00269285872248974,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,2.71161587370509e-06,2.77917061829167e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.00038568330455334,0.000367962077257597,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,4.30387212256317e-08,1.96686741746191e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.19635451126821e-05,2.30489675000743e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,1.75943628206027e-05,1.66246476348934e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000382697841914398,0.000374557352939499,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00811340390491115,0.00835921310854019,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0104591307402925,0.00998107472390503,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0289313201943035,0.0269564784339084,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,3.34032572794204e-06,3.29641132531769e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.02993944135733e-05,1.0382014424811e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,5.9844169107541e-05,6.06501705614768e-05,1e-09,0.01,8,1,0,1,0,1
