Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,149.251449910041,149.191115855142,8,300,1,0,1,1,0,1
LDend,156.744112509819,156.086765775828,5,400,1,0,1,1,0,1
diamDend,1.94802260260753,1.927641098958,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.29073938457943e-05,1.09143082272328e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,2.58228371092863e-08,2.66730946165057e-08,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00304509748677834,0.00292510839886723,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00180066280849525,0.00173309265220157,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.38700020917321e-06,4.44157357969659e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.00121113802885335,0.00116457549336566,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.78162441930964e-05,1.41435625350104e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,1.42161512224171e-05,1.4209917015899e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,6.04191343868206e-05,5.87030888465861e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000305663620933966,0.000295575055260103,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00287397172278103,0.00349261022406534,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0847028694697897,0.0800154693145932,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.00797460557922148,0.00762926965123563,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,3.56683146254029e-06,3.5178558012057e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,3.2004414968958e-05,3.63943483980844e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,0.000369528241598332,0.000357085411589091,1e-09,0.01,8,1,0,1,0,1
