Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,155.576137027207,156.589654577739,8,300,1,0,1,1,0,1
LDend,156.66200044137,156.725188057592,5,400,1,0,1,1,0,1
diamDend,4.79128330252792,4.76919814760979,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,9.72576296667095e-06,9.69178298490126e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,3.61390161040174e-09,3.56819465405278e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00253121069568069,0.00247488845442591,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00197053130814086,0.00192732537495088,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,2.67279110113095e-06,2.67931260559926e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,1.7478943654561e-05,7.29239601160653e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.4170611593182e-09,1.39979791804136e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,3.40060554045687e-05,3.43699750980701e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000543310622817525,0.000527281888194725,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000523854745792298,0.000541414626300733,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0083530133652691,0.00856383271974375,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0822804291047856,0.0834317144671224,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0337147784383169,0.0218538968008829,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.50432083662241e-06,2.40014822111181e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.29040129308343e-05,1.28955407264103e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.59470442673454e-05,1.59411597920983e-05,1e-09,0.01,8,1,0,1,0,1
