Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,273.180796466677,248.254243603155,8,300,1,0,1,1,0,1
LDend,292.07993030182,257.203960773028,5,400,1,0,1,1,0,1
diamDend,4.1180982772471,7.18757534193804,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,2.83415924021295e-06,3.39570607814644e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.94699536134464e-08,2.95014095283935e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00186070978945655,0.00229413529991242,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.000835012202927997,0.000684594314694129,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.81473836709099e-06,6.87736489937933e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000544601882433828,0.000414762089682539,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,2.97458275901407e-05,0.000494577474097769,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,1.54300527173221e-08,7.16711882914624e-09,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,1.97167667593243e-06,7.11013475252912e-07,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000173051289144111,0.000134698204746666,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00277486614174832,0.00969960287175929,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,1.57799604937669e-08,1.5950922815698e-08,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,3.14670386679888e-09,3.95864427204274e-09,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.45245708620764e-06,3.77104547811024e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.34287226910486e-08,5.66324972668713e-09,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.3230377203538e-09,1.05900864071266e-09,1e-09,0.01,8,1,0,1,0,1
