Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,150.680415141304,150.355660713903,8,300,1,0,1,1,0,1
LDend,210.84185704788,209.727358265606,5,400,1,0,1,1,0,1
diamDend,3.46543897548615,3.35084982111814,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.03825786511723e-05,1.03794423015513e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,2.35790498222425e-09,1.86498277473674e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00146979691782165,0.00134746521719947,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00151197168336822,0.00164292921816363,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.2002100366041e-06,4.66057742473188e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000657289150501013,0.000640738017605242,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.51903374495021e-09,1.22645446118981e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.30435827944127e-05,2.30571234685672e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000124362712139252,5.95365014742816e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000281588117703792,0.000299732941749974,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00284616000370201,0.00307676569101054,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0964771593852329,0.0868445795959919,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0396819447386871,0.0398446912140848,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,3.17826349514664e-06,3.26418414913583e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,0.000142468818395915,0.000136065048311999,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.75333146541817e-05,1.68443150688437e-05,1e-09,0.01,8,1,0,1,0,1
