Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,165.821406892588,161.868702127485,8,300,1,0,1,1,0,1
LDend,165.86503838927,158.503465062142,5,400,1,0,1,1,0,1
diamDend,4.99691596230242,3.50483393402207,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.06042660020759e-05,1.00705600436974e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,2.45398775765277e-09,2.85543172397767e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.000217010836054265,0.000198034632942046,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00290135088819,0.00226446291162994,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,3.13654236310142e-06,3.45474455271079e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000138124395174178,0.000137868730775791,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,9.57256621196736e-09,5.24073216729213e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,4.0830275938732e-05,3.91248910857434e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,4.84178419843274e-05,7.53363018001831e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.00115988009302648,0.00145957834807987,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0076472272220369,0.00636572561658157,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0739701658356569,0.0875791954266561,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0780643069153809,0.0380670991236913,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.05044343156646e-06,2.00343871200168e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.04832361952145e-05,9.73784920853776e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.05649487789942e-05,1.20686872575064e-05,1e-09,0.01,8,1,0,1,0,1
