Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,160.045566516745,159.623616798773,8,300,1,0,1,1,0,1
LDend,181.453671439562,180.616532296942,5,400,1,0,1,1,0,1
diamDend,4.92894038564122,4.78493166539625,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.26659459716253e-05,1.22428519954172e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,6.88234665445039e-09,7.30272527548722e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00439183827005069,0.00437485657008809,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.000955841718108436,0.000926958167350193,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,7.00752529350584e-06,7.26664904105555e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,6.37430199826972e-05,5.93158395396388e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,2.55755541304591e-05,3.04498982805907e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,3.48450180053968e-05,3.385488920048e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000130771280589882,0.000121124249413513,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.0018721866503894,0.00130976775985426,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0224077342660186,0.0210790016650666,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0687912982589725,0.0695350032961058,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.024041968747902,0.0232925656036632,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.56015959001841e-06,1.61303040951468e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,9.94500242295632e-06,1.0034448342114e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,7.31575517757398e-06,6.77462349740307e-06,1e-09,0.01,8,1,0,1,0,1
