Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,130.887774561307,130.887774561307,8,300,1,0,1,1,0,1
LDend,137.462376900447,137.462376900447,5,400,1,0,1,1,0,1
diamDend,32.4468254444206,32.4468254444206,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,4.67172931443599e-06,4.67172931443599e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,9.72325385804364e-09,9.72325385804364e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.000434954757027206,0.000434954757027206,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.000555190797263019,0.000555190797263019,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.12244773795868e-06,4.12244773795868e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,1.89909510925997e-09,1.89909510925997e-09,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.22754647952207e-05,1.22754647952207e-05,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,3.60217509517383e-05,3.60217509517383e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000199448423631237,0.000122080229403821,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,1.68683818585098e-08,1e-09,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0164488487799389,0.0164488487799389,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.00956611931921319,0.00956611931921319,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0113925143736805,0.0113925143736805,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.18598525971408e-09,1.18598525971408e-09,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.02962592028356e-08,1e-09,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.12523605513485e-05,1.12523605513485e-05,1e-09,0.01,8,1,0,1,0,1
