Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,161.565086965493,158.355399274516,8,300,1,0,1,1,0,1
LDend,147.107880718973,149.791669699638,5,400,1,0,1,1,0,1
diamDend,5.66997617368408,5.56703829373204,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.10406275567468e-05,1.01729571340703e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.09452531089763e-09,1.30761910372996e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00135811877979287,0.00150980156165416,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.0032392882658611,0.00287339488963471,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,2.01365925393479e-06,1.99756774615394e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000150297014955878,0.00014601274783827,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.09568758745044e-09,1.31231044178558e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.57117037983283e-05,2.33163618096136e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,4.4186518702217e-05,5.62620350696905e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000990024687699398,0.00113104781746832,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00637167513550503,0.00668457711808652,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.08508701121963,0.0860671963130712,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0237157794984269,0.0197772358753559,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,5.0881503112057e-06,4.74047706112564e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.19328463334918e-05,1.29019599414199e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,5.28322094788349e-05,1.65637717498229e-05,1e-09,0.01,8,1,0,1,0,1
