Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,151.988298246076,152.04364726265,8,300,1,0,1,1,0,1
LDend,161.59848196004,159.593358018244,5,400,1,0,1,1,0,1
diamDend,4.77254349952591,4.73716042389627,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,9.72065912332801e-06,9.61609269805232e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,7.5270094565563e-09,5.34187382413733e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00185296929584753,0.0023406280404978,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00250681287535142,0.00256036446867521,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,2.64566706908492e-06,2.90812041207382e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000911422254108129,0.000839623622221459,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,5.30803612363382e-07,1.74297796812829e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.20633280391558e-05,2.30163153561501e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,5.01400358438264e-05,4.48954368932957e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,7.33936945262213e-05,6.5014454963852e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00935395541588944,0.0107256127301182,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0945700599758211,0.0862125436364068,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0679429872383208,0.0546073506442832,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.67867791579311e-06,2.77687337688526e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,0.000106377652005093,3.30869369372033e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.36531053572546e-05,1.27240818482802e-05,1e-09,0.01,8,1,0,1,0,1
