Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,160.890844486774,157.149182573193,8,300,1,0,1,1,0,1
LDend,161.432313666224,152.037126132242,5,400,1,0,1,1,0,1
diamDend,2.57221438472149,4.70094038380228,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.03084796418419e-05,1.00308747901307e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,4.72726212387776e-09,2.39453599053341e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00376402238303274,0.00270748842568016,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00288071174087289,0.00225044627616612,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,4.24931362797391e-06,3.50853397514529e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000458439696726541,0.000403494677432801,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.5707123890289e-09,1e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,4.11970400286013e-05,2.61150778083339e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,5.96185661980534e-05,4.18385167192752e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,7.90758520448313e-05,0.000494822466920393,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0124872399671476,0.009703146590983,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0295247348661382,0.0467488352652888,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0786666582283007,0.0264079920793042,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.59262446632823e-06,2.78693413713378e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.30466097164314e-05,1.08014897642268e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,1.17790584826174e-05,9.53887667110267e-06,1e-09,0.01,8,1,0,1,0,1
