Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,157.080807556806,157.149182573193,8,300,1,0,1,1,0,1
LDend,153.017679406483,152.037126132242,5,400,1,0,1,1,0,1
diamDend,4.98094633920064,4.70094038380228,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,9.86790266806184e-06,1.00308747901307e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,4.48486989223362e-09,2.39453599053341e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00322266847588303,0.00270748842568016,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00244603734333655,0.00225044627616612,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,2.98926599081795e-06,3.50853397514529e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000393519790920695,0.000403494677432801,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.16138528682377e-05,1e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.39677400646056e-05,2.61150778083339e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,4.62041541228585e-05,4.18385167192752e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000481655703833104,0.000494822466920393,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0109732007415863,0.009703146590983,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0706642194628838,0.0467488352652888,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0381891475851602,0.0264079920793042,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.21467600205673e-06,2.78693413713378e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.25168422858071e-05,1.08014897642268e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,8.26669145040239e-06,9.53887667110267e-06,1e-09,0.01,8,1,0,1,0,1
