Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,172.312840173543,172.312840173543,8,300,1,0,1,1,0,1
LDend,107.760404359183,107.760404359183,5,400,1,0,1,1,0,1
diamDend,3.48726442566058,3.48726442566058,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,1.25925984094307e-05,1.25925984094307e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,9.01357947426287e-09,9.01357947426287e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00885537624307551,0.00885537624307551,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00735020240684661,0.00735020240684662,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,7.90591918222771e-07,7.90591918222771e-07,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000104297476540209,0.000104297476540209,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,3.83396808591936e-09,3.83396808591936e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,4.57639715120323e-05,4.57639715120323e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,0.000105300769220838,0.000165434522114418,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.00471014659386123,0.00471014659386123,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.0509601890248459,0.0509601890248459,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.0269427160419297,0.0329475964465522,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.0590499344424129,0.0590499344424129,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.07579140733875e-06,2.07579140733875e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,1.85442489266163e-05,1.85442489266163e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,2.12527520407177e-05,2.12527520407177e-05,1e-09,0.01,8,1,0,1,0,1
