Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,201.610021805835,204.664831095441,8,300,1,0,1,1,0,1
LDend,270.066278203081,269.160552284689,5,400,1,0,1,1,0,1
diamDend,12.3377224642117,13.3749986036923,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,2.65632076343722e-06,2.62691270099707e-06,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,8.64979526193342e-09,1.91723271819513e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.000504418683649384,0.000483341775851962,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00196859205209001,0.0020388448255834,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,7.8485453434409e-06,5.47253193800039e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,4.46168490868608e-05,4.41647142132842e-05,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,5.68999775198828e-05,6.49397945115102e-05,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,5.05359743422291e-09,4.45383887904677e-09,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,5.8422860978357e-07,5.39286847093879e-07,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000124740562275015,0.000122163178628472,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.010280688543076,0.0109623986903768,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,3.8786784118218e-08,3.44033315589319e-08,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,4.77782384734776e-08,2.05729041399332e-09,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,1.94745940770702e-06,1.81822656352041e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,9.58826086350654e-08,8.75161508178605e-08,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,2.9102860584869e-07,3.27914440928274e-09,1e-09,0.01,8,1,0,1,0,1
