Row,Value,InitValue,LowerBound,UpperBound,Class,IsLog,IsPassive,UseAcrossTrials,UseAcrossCells,InUse
diamSoma,157.231360122563,157.149182573193,8,300,1,0,1,1,0,1
LDend,159.319560023741,152.037126132242,5,400,1,0,1,1,0,1
diamDend,4.54599392971189,4.70094038380228,1,100,1,0,1,1,0,1
cm,0.88,0.88,0.88,0.88,2,1,1,0,0,0
Ra,173,173,173,173,2,1,1,0,0,0
corrD,1,1,1,1,2,0,1,0,0,0
gpas,9.76680537149014e-06,1.00308747901307e-05,1e-06,0.0001,3,1,1,1,0,1
epas,-70,-70,-95,-45,3,0,1,0,0,0
pcabarITSoma,1.49956918054659e-08,2.39453599053341e-09,1e-09,0.1,4,1,0,1,0,1
pcabarITDend1,0.00273987336969285,0.00270748842568016,1e-09,0.1,4,1,0,1,0,1
pcabarITDend2,0.00204620735404418,0.00225044627616612,1e-09,0.1,4,1,0,1,0,1
shiftmIT,1,1,-30,30,4,0,0,0,1,0
shifthIT,1,1,-30,30,4,0,0,0,1,0
slopemIT,1,1,0.1,10,4,1,0,0,1,0
slopehIT,1,1,0.1,10,4,1,0,0,1,0
ghbarIhSoma,3.45026880515488e-06,3.50853397514529e-06,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend1,0.000330603212047067,0.000403494677432801,1e-09,0.01,5,1,0,1,0,1
ghbarIhDend2,1.1458586892301e-09,1e-09,1e-09,0.01,5,1,0,1,0,1
ehIh,-28,-28,-32,-24,5,0,0,0,1,0
shiftmIh,0,0,-30,30,5,0,0,0,1,0
gkbarIKirSoma,2.78478220732818e-05,2.61150778083339e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend1,5.47629916117487e-05,4.18385167192752e-05,1e-09,0.01,6,1,0,1,0,1
gkbarIKirDend2,0.000464254296817333,0.000494822466920393,1e-09,0.01,6,1,0,1,0,1
gkbarIASoma,0.00830314872363376,0.009703146590983,1e-09,0.1,7,1,0,1,0,1
gkbarIADend1,0.010666220921267,0.0467488352652888,1e-09,0.1,7,1,0,1,0,1
gkbarIADend2,0.030350271625947,0.0264079920793042,1e-09,0.1,7,1,0,1,0,1
gnabarINaPSoma,2.59195847431201e-06,2.78693413713378e-06,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend1,9.39738365988692e-06,1.08014897642268e-05,1e-09,0.01,8,1,0,1,0,1
gnabarINaPDend2,6.51179105429958e-05,9.53887667110267e-06,1e-09,0.01,8,1,0,1,0,1
